id,time_zone,quality_grade,license,url,sound_url,latitude,longitude,private_latitude,private_longitude,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
28206216,Bogota,research,CC-BY-NC,https://www.inaturalist.org/observations/28206216,,25.5351066296,-100.276494585,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
29024778,UTC,research,,https://www.inaturalist.org/observations/29024778,,25.5485904099,-100.2709120493,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
29548985,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/29548985,,25.5345461634,-100.220525328,,,false,Gulf Coast Toad,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
29946750,Bogota,research,CC-BY,https://www.inaturalist.org/observations/29946750,,25.5811977386,-100.2524795532,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
29955773,Bogota,research,CC-BY-NC,https://www.inaturalist.org/observations/29955773,,25.5336227417,-100.2772979736,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
29955794,Bogota,research,CC-BY-NC,https://www.inaturalist.org/observations/29955794,,25.5335941315,-100.2772827148,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
30820628,America/New_York,research,CC-BY-NC,https://www.inaturalist.org/observations/30820628,,25.5401992577,-100.2724119276,,,false,Small-eared Tree Frog,Rheohyla miotympanum,Calates,Amphibia,554652
30837545,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/30837545,,25.6497689442,-100.2720263354,,,false,Gulf Coast Toad,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
30843942,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/30843942,,25.5498624,-100.270419,,,false,Small-eared Tree Frog,Rheohyla miotympanum,Calates,Amphibia,554652
30972280,Bogota,research,,https://www.inaturalist.org/observations/30972280,,25.6818084717,-100.2694320679,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
31445275,American Samoa,research,CC-BY-NC,https://www.inaturalist.org/observations/31445275,,25.5500508248,-100.2694467455,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
31448027,America/New_York,research,CC-BY,https://www.inaturalist.org/observations/31448027,,25.5626819475,-100.2783094849,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
31448029,Bogota,research,CC-BY,https://www.inaturalist.org/observations/31448029,,25.5626619853,-100.2783161799,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
31540948,UTC,research,,https://www.inaturalist.org/observations/31540948,,25.5240909082,-100.2092334886,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
31937729,Monterrey,research,CC-BY,https://www.inaturalist.org/observations/31937729,,25.5377138194,-100.2759075999,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
31958761,UTC,research,,https://www.inaturalist.org/observations/31958761,,25.543216,-100.270329,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
32145642,Mexico City,research,CC-BY-NC,https://www.inaturalist.org/observations/32145642,,25.6956885267,-100.3058747318,,,false,sapo cavador,Scaphiopus couchii,sapo cavador,Amphibia,26691
32593975,UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/32593975,,25.5956148866,-100.2575927619,,,false,rana arborícola mexicana,Smilisca baudinii,Rana arborícola mexicana,Amphibia,24277
33264832,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/33264832,,25.5422366524,-100.2713405901,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
33561739,American Samoa,research,CC-BY-NC,https://www.inaturalist.org/observations/33561739,,25.5423797584,-100.2716941014,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
34190511,Central Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/34190511,,25.6786117554,-100.2833328247,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
35035197,Central Time (US & Canada),research,CC-BY-NC-ND,https://www.inaturalist.org/observations/35035197,,25.5621533331,-100.2735066666,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
35884599,UTC,research,,https://www.inaturalist.org/observations/35884599,,25.6133703841,-100.2817947976,,,false,Sapo nebuloso,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
35990135,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/35990135,,25.5478251267,-100.270272412,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
36071219,UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/36071219,,25.7440285178,-100.4138768914,,,false,Gulf Coast Toad,Incilius nebulifer,Sapo nebuloso,Amphibia,65849
36399522,UTC,research,,https://www.inaturalist.org/observations/36399522,,25.5840154675,-100.2505272026,,,false,Rio Grande Leopard Frog,Lithobates berlandieri,Rana leopardo,Amphibia,65975
37736025,Monterrey,research,CC-BY-NC,https://www.inaturalist.org/observations/37736025,,25.5498756835,-100.2704572678,,,false,Calates,Rheohyla miotympanum,Calates,Amphibia,554652
